4146083	-3926	0.983	-0.015	0.025
42588	4145941	-3925	0.984	-0.009	0.023
42637	4146236	-3927	0.985	-0.016	0.022
42652	4146236	-3927	0.985	-0.011	0.031
42662	4146236	-3927	0.985	-0.016	0.028
42673	4146005	-3928	0.985	-0.011	0.024
42682	4146005	-3928	0.979	-0.021	0.023
42764	4146241	-3926	0.986	-0.012	0.027
42775	4146241	-3926	0.988	-0.013	0.025
42782	4146241	-3926	0.986	-0.012	0.024
42899	4146241	-3926	0.983	-0.015	0.030
42999	4145999	-3926	0.987	-0.010	0.033
43015	4145999	-3926	0.988	-0.011	0.023
43028	4145999	-3926	0.985	-0.016	0.021
43039	4146152	-3927	0.985	-0.017	0.029
43049	4146152	-3927	0.985	-0.016	0.027
43140	4146203	-3925	0.985	-0.009	0.028
43151	4146203	-3925	0.989	-0.015	0.021
43157	4146188	-3927	0.987	-0.014	0.027
43193	4146188	-3927	0.981	-0.015	0.028
43203	4145933	-3926	0.983	-0.015	0.027
43208	4146147	-3925	0.988	-0.014	0.030
43260	4146147	-3925	0.981	-0.010	0.024
43268	4146147	-3925	0.986	-0.015	0.028
43313	4146229	-3927	0.981	-0.015	0.031
43324	4145985	-3926	0.983	-0.014	0.026
43329	4146160	-3926	0.986	-0.012	0.032
43531	4146104	-3927	0.984	-0.014	0.024
43541	4146104	-3927	0.987	-0.011	0.029
43561	4146104	-3927	0.986	-0.016	0.025
43571	4146073	-3925	0.986	-0.014	0.025
43581	4146073	-3925	0.981	-0.014	0.027
43621	4146122	-3925	0.982	-0.015	0.025
43632	4146122	-3925	0.988	-0.018	0.033
43638	4146122	-3925	0.981	-0.013	0.023
43745	4146038	-3924	0.985	-0.017	0.029
43756	4146038	-3924	0.986	-0.012	0.028
43761	4146115	-3922	1.999	-0.604	-0.523
43870	4146115	-3922	-0.377	0.468	-0.192
43879	4146115	-3922	0.497	-0.158	-0.154
44037	4145989	-3922	0.815	-0.277	0.177
44053	4145871	-3925	0.831	-0.119	-0.033
44065	4145871	-3925	1.012	-0.025	0.099
44076	4145871	-3925	1.187	0.021	0.161
44086	4145871	-3925	0.845	0.029	0.104
44090	4145958	-3925	0.822	0.369	-0.010
44116	4145958	-3925	0.956	0.285	0.089
44122	4145958	-3925	1.117	0.269	0.022
44170	4146083	-3922	0.835	0.285	0.153
44182	4145919	-3922	1.018	-0.139	-0.094
44186	4146005	-3923	1.150	-0.168	0.361
44238	4146005	-3923	0.799	-0.464	0.436
44245	4146005	-3923	0.857	0.197	0.404
44473	4146077	-3921	0.512	0.193	0.529
44482	4146077	-3921	0.515	0.259	0.596
44614	4146128	-3922	0.530	1.123	0.486
44629	4145923	-3921	0.505	0.858	0.375
44651	4145923	-3921	0.399	0.401	0.725
44664	4145800	-3923	0.288	0.398	0.835
44676	4145800	-3923	0.354	0.327	0.823
44686	4145800	-3923	0.258	0.137	0.820
44690	4145845	-3922	0.491	0.684	0.286
44723	4145845	-3922	0.570	0.715	0.278
44730	4145845	-3922	0.573	0.705	0.359
44775	4145885	-3921	0.635	0.477	0.442
44786	4145639	-3920	0.641	0.545	0.465
44792	4145639	-3920	0.673	0.217	0.266
44838	4145716	-3921	0.570	0.155	0.305
44848	4145716	-3921	0.665	0.185	0.287
45079	4146062	-3917	0.572	0.398	0.515
45093	4146062	-3917	0.523	0.492	0.707
45104	4146062	-3919	0.408	0.537	0.732
45115	4145888	-3919	0.452	0.490	0.745
45124	4145888	-3919	0.491	0.493	0.869
45200	4145944	-3920	1.113	0.524	0.854
45211	4145944	-3920	0.817	0.539	0.887
45217	4145944	-3920	0.732	0.646	0.596
45264	4146033	-3919	0.447	0.646	0.451
45275	4145971	-3918	0.619	0.530	0.461
45280	4145971	-3917	0.709	0.516	1.034
45391	4145914	-3917	0.978	0.494	1.117
45399	4145914	-3917	1.218	0.451	1.159
45444	4145888	-3919	1.077	0.248	1.430
45454	4145888	-3919	0.962	0.301	1.457
45459	4145888	-3919	0.957	0.148	0.328
45625	4145892	-3917	0.189	-0.084	0.229
45644	4145646	-3917	0.512	-0.072	0.172
45667	4145646	-3917	0.553	-0.189	0.417
45684	4145574	-3920	0.631	-0.368	0.624
45697	4145574	-3920	0.597	-0.499	0.766
45708	4145574	-3920	0.566	-0.410	0.686
45727	4145751	-3917	0.681	-0.197	0.740
45747	4145751	-3917	0.607	-0.066	0.593
45770	4145497	-3918	0.566	-0.162	0.687
45781	4145497	-3918	0.523	-0.276	0.756
45788	4145497	-3918	0.520	-0.301	0.736
45823	4145619	-3917	0.617	-0.278	0.810
45843	4145448	-3918	0.646	-0.172	0.696
45864	4145448	-3918	0.268	-0.122	0.452
45886	4145693	-3917	0.705	-0.292	0.410
45907	4145693	-3917	1.027	-0.220	0.335
45928	4145620	-3916	1.120	-0.247	0.440
45949	4145620	-3916	0.868	-0.400	0.498
45970	4145440	-3916	0.538	-0.359	0.494
45992	4145440	-3916	0.086	-0.230	0.579
46013	4145479	-3915	0.130	-0.304	0.600
46035	4145479	-3915	0.327	-0.479	0.661
46057	4145524	-3918	0.405	-0.528	0.565
46074	4145524	-3918	0.408	-0.619	0.566
46085	4145561	-3917	0.496	-0.689	0.618
46097	4145561	-3917	0.512	-0.719	0.741
46130	4145556	-3916	0.157	-0.627	0.563
46149	4145556	-3916	-0.162	-0.630	0.674
46173	4145399	-3916	0.146	-0.763	0.206
46194	4145399	-3916	0.302	-0.773	0.499
46215	4145532	-3917	0.025	-0.698	0.614
46238	4145532	-3917	0.386	-0.796	0.784
46259	4145180	-3916	0.369	-0.789	0.725
46279	4145180	-3916	0.349	-0.747	0.007
46302	4145518	-3917	0.469	-0.874	0.426
46323	4145518	-3916	0.374	-0.786	0.605
46343	4145444	-3916	0.263	-0.638	0.547
46355	4145444	-3916	0.285	-0.577	0.363
46371	4145566	-3915	0.348	-0.607	0.297
46381	4145566	-3915	0.408	-0.704	0.473
46388	4145566	-3915	0.414	-0.747	0.749
46422	4145438	-3916	1.006	-0.785	0.834
46439	4145438	-3916	0.899	-1.132	0.740
46460	4145550	-3916	0.640	-1.020	0.608
46479	4145550	-3916	0.645	-1.022	0.358
46501	4145426	-3916	0.591	-0.695	0.158
46522	4145426	-3916	0.801	-0.793	0.445
46544	4145247	-3914	0.319	-0.865	0.316
46565	4145247	-3916	0.352	-0.874	0.246
46582	4145534	-3916	0.521	-0.986	0.425
46596	4145534	-3916	0.706	-1.013	0.453
46614	4145536	-3915	0.518	-0.932	0.507
46640	4145536	-3915	1.999	0.627	0.348
46660	4145431	-3915	0.805	0.308	0.583
46677	4145431	-3915	0.712	0.067	0.202
46689	4145431	-3915	0.657	-0.180	0.282
46701	4145602	-3915	0.420	-0.397	0.128
46725	4145602	-3913	-0.135	-0.490	-0.005
46750	4145523	-3913	-0.173	-0.622	0.229
46772	4145523	-3914	0.136	-0.581	0.151
46793	4145597	-3914	0.504	-0.590	0.165
46817	4145419	-3915	0.628	-0.700	0.307
46839	4145419	-3915	0.439	-0.607	0.155
46858	4145474	-3915	0.018	-0.574	0.238
46879	4145474	-3915	0.123	-0.633	0.451
46900	4145490	-3914	0.304	-0.555	0.417
46922	4145490	-3914	0.285	-0.634	0.363
46943	4145516	-3913	0.423	-0.798	-0.091
46964	4145516	-3913	0.773	-0.999	0.603
46977	4145484	-3916	0.744	-1.091	0.855
46987	4145484	-3916	0.870	-1.075	0.873
46997	4145484	-3916	0.956	-1.067	0.835
47003	4145484	-3916	1.032	-0.886	0.901
47057	4145566	-3913	1.021	-0.860	0.860
47062	4145566	-3913	1.037	-0.973	0.749
47088	4145566	-3913	0.979	-1.033	0.981
47108	4145626	-3914	0.516	-0.901	0.676
47129	4145626	-3914	0.408	-0.853	0.603
47151	4145625	-3914	0.340	-0.833	0.542
47172	4145625	-3914	0.374	-0.839	0.494
47193	4145562	-3913	0.394	-0.816	0.473
47214	4145562	-3915	0.338	-0.746	-0.328
47236	4145512	-3915	0.349	-0.725	0.263
47257	4145512	-3915	0.222	-0.646	0.176
47274	4145782	-3915	0.067	-0.721	0.254
47280	4145782	-3915	-0.144	-0.988	0.317
47324	4145629	-3914	0.167	-0.725	0.402
47345	4145731	-3913	0.290	-0.529	0.514
47367	4145731	-3913	0.482	-0.636	0.459
47388	4145551	-3914	0.504	-0.779	0.667
47409	4145551	-3914	0.726	-0.825	0.816
47430	4145704	-3912	0.864	-0.613	0.847
47452	4145704	-3912	0.993	-0.624	0.877
47473	4145601	-3913	1.004	-0.687	0.672
47494	4145601	-3913	0.977	-0.674	0.603
47515	4145398	-3913	1.073	-0.718	0.468
47538	4145398	-3913	1.242	-0.795	0.532
47558	4145694	-3914	1.242	-0.807	0.413
47576	4145694	-3914	1.140	-0.823	0.384
47588	4145469	-3912	0.990	-0.745	0.244
47599	4145469	-3912	0.851	-0.680	-0.001
47607	4145469	-3912	0.486	-0.436	0.238
47658	4145547	-3912	0.654	-0.201	0.475
47684	4145684	-3911	0.806	-0.257	0.421
47708	4145722	-3912	0.815	-0.339	0.354
47729	4145722	-3912	0.687	-0.437	0.474
47750	4145727	-3912	0.603	-0.462	0.407
47769	4145727	-3912	0.761	-0.345	0.601
47791	4145686	-3912	1.139	-0.523	0.568
47815	4145686	-3912	1.312	-0.729	0.759
47837	4145777	-3912	1.136	-0.601	0.684
47858	4145777	-3912	1.036	-0.586	0.350
47875	4145880	-3912	0.956	-0.421	0.465
47885	4145880	-3912	0.941	-0.399	0.404
47895	4145880	-3912	0.887	-0.315	0.530
47908	4145880	-3912	0.890	-0.291	0.621
47929	4145624	-3913	0.600	-0.070	0.108
47949	4145624	-3914	1.185	-0.273	0.390
47972	4145550	-3914	1.014	-0.331	0.319
47994	4145588	-3910	0.894	-0.288	0.337
48015	4145588	-3910	0.774	-0.286	0.346
48037	4145469	-3911	0.654	-0.287	0.300
48058	4145469	-3911	0.525	-0.342	0.257
48076	4145592	-3911	0.483	-0.352	0.261
48098	4145592	-3911	0.379	-0.380	0.290
48117	4145527	-3913	0.320	-0.392	0.322
48138	4145527	-3913	0.345	-0.342	0.383
48158	4145560	-3912	0.314	-0.328	0.436
48175	4145560	-3912	0.275	-0.392	0.471
48186	4145560	-3912	0.286	-0.412	0.552
48198	4145444	-3911	0.459	-0.340	0.782
48224	4145444	-3911	0.457	-0.314	0.833
48250	4145570	-3911	0.540	-0.327	0.854
48265	4145570	-3911	0.529	-0.354	0.849
48277	4145455	-3911	0.512	-0.396	0.839
48290	4145455	-3911	0.482	-0.430	0.840
48299	4145455	-3911	0.483	-0.456	0.852
48305	4145653	-3912	0.509	-0.535	1.006
48331	4145653	-3912	0.529	-0.495	1.048
48336	4145648	-3909	0.481	-0.408	1.028
48379	4145648	-3909	0.495	-0.404	1.095
48399	4145648	-3911	0.389	-0.445	1.037
48420	4145648	-3911	0.354	-0.379	0.960
48444	4145559	-3911	0.285	-0.378	0.963
48465	4145559	-3911	0.218	-0.375	0.969
48479	4145604	-3909	0.226	-0.381	1.009
48490	4145604	-3909	0.189	-0.364	1.013
48501	4145604	-3909	0.213	-0.358	1.012
48508	4145604	-3909	0.206	-0.336	1.162
48545	4145569	-3910	0.275	-0.187	1.067
48567	4145707	-3909	0.187	-0.108	0.964
48589	4145707	-3909	0.199	-0.086	0.944
48610	4145650	-3909	0.157	-0.108	0.897
48631	4145650	-3909	0.131	-0.137	0.849
48652	4145414	-3911	0.039	-0.143	0.786
48673	4145414	-3911	0.051	-0.134	0.717
48693	4145543	-3909	0.088	-0.102	0.814
48714	4145543	-3909	0.071	0.033	0.721
48738	4145825	-3908	0.076	0.240	0.537
48759	4145825	-3909	0.082	0.317	0.462
48774	4145543	-3909	0.080	0.323	0.415
48778	4145674	-3910	0.164	0.220	0.368
48821	4145674	-3910	0.223	0.150	0.410
48842	4145674	-3909	0.210	0.121	0.378
48858	4145593	-3909	0.266	0.054	0.515
48880	4145593	-3909	0.267	-0.005	0.480
48897	4145742	-3909	0.273	-0.082	0.462
48911	4145742	-3909	0.298	-0.146	0.491
48930	4145699	-3910	0.365	-0.177	0.512
48951	4145699	-3910	0.298	-0.300	0.699
48973	4145678	-3908	0.388	-0.418	0.668
48994	4145678	-3908	0.484	-0.502	0.655
49017	4145680	-3907	0.567	-0.637	0.723
49038	4145680	-3907	0.595	-0.732	0.976
49059	4145634	-3911	0.624	-0.689	1.134
49076	4145634	-3911	0.584	-0.604	1.153
49088	4145783	-3908	0.531	-0.615	1.029
49108	4145783	-3908	0.530	-0.689	1.156
49134	4145796	-3909	0.674	-0.686	1.321
49155	4145796	-3909	0.640	-0.636	1.221
49174	4145934	-3907	0.569	-0.598	1.105
49188	4145934	-3907	0.549	-0.585	1.065
49194	4145934	-3907	0.550	-0.580	0.982
49221	4145803	-3908	0.628	-0.630	1.012
49243	4145803	-3908	0.570	-0.600	0.915
49264	4145757	-3908	0.519	-0.564	0.930
49285	4145757	-3906	0.565	-0.670	0.979
49307	4145909	-3906	0.547	-0.784	0.982
49328	4145909	-3907	0.467	-0.765	0.970
49349	4145801	-3907	0.504	-0.657	1.040
49367	4145801	-3907	0.520	-0.559	0.997
49380	4145793	-3906	0.524	-0.524	0.966
49391	4145793	-3906	0.518	-0.481	0.931
49400	4145793	-3906	0.498	-0.449	0.893
49438	4145893	-3906	0.421	-0.412	0.980
49460	4145901	-3905	0.413	-0.466	1.005
49482	4145901	-3905	0.373	-0.457	0.935
49503	4146115	-3906	0.344	-0.398	0.864
49524	4146115	-3906	0.396	-0.357	0.884
49543	4145950	-3907	0.469	-0.390	0.905
49555	4145950	-3907	0.502	-0.443	0.958
49572	4145950	-3907	0.479	-0.428	0.915
49585	4145972	-3907	0.963	-0.664	-0.948
49595	4145972	-3907	1.040	-0.583	1.268
49605	4145972	-3907	1.333	-0.385	0.765
49619	4145633	-3905	0.469	-0.167	0.885
49643	4145633	-3905	0.282	-0.100	1.041
49664	4145873	-3906	0.347	-0.278	1.014
49679	4145873	-3906	0.255	-0.312	0.990
49690	4145873	-3906	0.251	-0.352	0.926
49702	4145938	-3905	0.189	-0.310	0.908
49735	4145938	-3906	0.097	-0.403	0.897
49758	4145761	-3906	0.234	-0.439	0.910
49779	4145742	-3905	0.250	-0.383	0.956
49800	4145742	-3905	0.238	-0.337	0.943
49817	4145742	-3904	0.232	-0.401	0.946
49839	4145949	-3904	0.275	-0.339	0.934
49859	4145810	-3906	0.214	-0.355	0.934
49878	4145810	-3906	0.232	-0.362	0.936
49899	4145810	-3907	0.250	-0.288	0.964
49920	4145809	-3907	0.266	-0.288	0.959
49941	4145961	-3904	0.233	-0.347	0.883
49963	4145961	-3904	0.215	-0.354	0.856
49979	4145961	-3903	0.205	-0.345	0.900
49990	4145977	-3903	0.206	-0.327	0.882
50017	4145977	-3906	0.290	-0.315	0.878
50043	4145995	-3906	0.105	-0.277	0.827
50062	4145948	-3904	0.107	-0.219	0.779
50081	4145948	-3904	0.148	-0.294	0.927
50103	4145881	-3903	0.150	-0.398	0.838
50124	4145881	-3903	0.143	-0.396	0.820
50145	4145920	-3902	0.110	-0.364	0.847
50164	4145920	-3902	0.045	-0.374	0.823
50181	4145920	-3905	0.083	-0.407	0.870
50194	4145803	-3905	0.073	-0.435	0.906
50212	4145803	-3905	0.213	-0.580	0.937
50235	4145795	-3903	0.116	-0.461	0.914
50260	4145795	-3903	0.079	-0.427	0.870
50275	4145722	-3903	0.070	-0.425	0.883
50288	4145722	-3903	0.064	-0.457	0.903
50299	4145722	-3903	0.009	-0.474	0.904
50329	4145820	-3903	0.016	-0.440	0.872
50354	4145777	-3902	-0.027	-0.411	0.786
50376	4145777	-3902	-0.008	-0.381	0.933
50397	4145945	-3901	0.083	-0.442	0.808
50418	4145945	-3901	0.042	-0.467	0.940
50440	4145828	-3904	0.059	-0.518	0.938
50462	4145828	-3904	0.085	-0.482	0.853
50476	4145841	-3902	0.069	-0.615	0.943
50489	4145841	-3902	0.066	-0.598	0.972
50512	4145937	-3901	-0.021	-0.502	0.948
50533	4145937	-3901	-0.029	-0.396	0.896
50554	4145895	-3902	-0.033	-0.445	0.893
50570	4145895	-3902	-0.025	-0.505	1.056
50583	4145895	-3902	0.016	-0.505	0.972
50594	4145984	-3904	-0.042	-0.504	0.867
50613	4145984	-3904	-0.054	-0.421	0.958
50641	4145768	-3902	0.164	-0.333	0.991
50663	4145768	-3902	-0.054	-0.391	0.797
50684	4145804	-3903	-0.105	-0.426	0.870
50705	4145804	-3903	-0.068	-0.371	0.884
50727	4146039	-3902	-0.060	-0.461	0.906
50748	4146039	-3902	0.007	-0.465	0.868
50768	4145872	-3904	-0.043	-0.451	0.912
50792	4145872	-3902	-0.086	-0.369	0.877
50813	4145880	-3902	-0.013	-0.277	0.850
50829	4145880	-3902	-0.007	-0.366	0.881
50837	4145937	-3902	0.011	-0.454	0.934
50860	4145937	-3902	-0.040	-0.508	0.886
50875	4146007	-3902	0.014	-0.340	0.836
50885	4146007	-3902	-0.025	-0.432	0.825
50898	4146007	-3902	-0.033	-0.479	0.945
50927	4145857	-3901	-0.027	-0.470	0.919
50951	4145857	-3901	-0.061	-0.501	0.908
50973	4145768	-3901	-0.042	-0.488	0.911
50994	4145768	-3903	-0.033	-0.497	0.935
51015	4145784	-3903	-0.051	-0.487	0.885
51035	4145784	-3901	-0.067	-0.425	0.890
51059	4145936	-3901	0.039	-0.466	0.880
51080	4145940	-3902	-0.037	-0.455	0.920
51101	4145940	-3902	-0.027	-0.398	0.902
51123	4145922	-3898	0.056	-0.359	0.854
