4146221	-3045	0.028	1.019	0.032
158326	4146221	-3045	0.029	1.015	0.037
158345	4146231	-3043	0.031	1.018	0.036
158357	4146231	-3043	0.030	1.015	0.038
158385	4146030	-3044	0.032	1.018	0.035
158404	4146030	-3044	0.035	1.015	0.031
158423	4146159	-3044	0.038	1.019	0.037
158443	4146159	-3044	0.040	1.014	0.035
158465	4146213	-3043	0.039	1.020	0.029
158485	4146213	-3043	0.036	1.018	0.034
158501	4146054	-3043	0.040	1.015	0.031
158514	4146054	-3043	0.038	1.021	0.034
158543	4145909	-3044	0.039	1.018	0.035
158564	4145909	-3044	0.031	1.016	0.032
158580	4146165	-3044	0.037	1.014	0.033
158590	4145998	-3044	0.030	1.012	0.038
158601	4145998	-3044	0.036	1.020	0.031
158610	4145998	-3044	0.031	1.017	0.037
158625	4146188	-3041	0.032	1.019	0.032
158642	4146188	-3041	0.040	1.015	0.032
158654	4146188	-3041	0.035	1.014	0.039
158673	4146065	-3043	0.041	1.014	0.039
158692	4146065	-3043	0.044	1.017	0.035
158714	4145926	-3043	0.041	1.013	0.033
158736	4145926	-3043	0.038	1.018	0.033
158755	4146179	-3042	0.040	1.021	0.031
158774	4146179	-3042	0.039	1.016	0.036
158796	4146005	-3042	0.042	1.019	0.032
158818	4146005	-3042	0.043	1.017	0.031
158839	4146110	-3038	0.040	1.022	0.035
158860	4146110	-3040	0.040	1.015	0.036
158878	4146143	-3040	0.042	1.017	0.034
158889	4146143	-3040	0.038	1.018	0.029
158904	4146143	-3038	0.036	1.024	0.038
158934	4146353	-3038	0.032	1.021	0.033
158956	4145843	-3041	0.039	1.019	0.031
158978	4145843	-3041	0.038	1.019	0.037
158991	4145957	-3040	0.036	1.021	0.032
159010	4145957	-3040	0.037	1.017	0.037
159034	4146120	-3039	0.038	1.012	0.036
159053	4146120	-3039	0.039	1.016	0.032
159074	4145980	-3042	0.038	1.020	0.033
159095	4145980	-3042	0.033	1.015	0.033
159115	4145962	-3040	0.035	1.020	0.033
159132	4145962	-3040	0.031	1.015	0.038
159146	4145962	-3040	0.037	1.014	0.032
159171	4145949	-3040	0.036	1.020	0.035
159182	4145949	-3040	0.043	1.011	0.033
159193	4146069	-3040	0.037	1.021	0.032
159202	4146069	-3040	0.043	1.024	0.035
159230	4145996	-3039	0.044	1.017	0.031
159252	4145996	-3039	0.032	1.018	0.030
159274	4146182	-3037	0.041	1.017	0.038
159295	4146182	-3037	0.042	1.020	0.033
159314	4145961	-3038	0.038	1.015	0.033
159333	4145961	-3038	0.036	1.019	0.034
159352	4146154	-3037	0.035	1.018	0.030
159374	4146154	-3037	0.039	1.012	0.033
159393	4146109	-3035	0.036	1.018	0.033
159414	4146109	-3035	0.041	1.018	0.030
159435	4145873	-3036	0.035	1.019	0.038
159454	4145873	-3036	0.033	1.019	0.034
159469	4145873	-3036	0.036	1.017	0.035
159513	4146166	-3037	0.034	1.018	0.033
159533	4146001	-3037	0.035	1.017	0.035
159552	4146001	-3036	0.042	1.015	0.028
159568	4146109	-3036	0.043	1.019	0.028
159588	4146109	-3036	0.043	1.015	0.032
159607	4145969	-3036	0.038	1.014	0.033
159625	4145969	-3036	0.040	1.019	0.033
159637	4146068	-3035	0.029	1.018	0.036
159666	4146068	-3035	0.033	1.022	0.034
159687	4146009	-3037	0.039	1.014	0.034
159708	4146009	-3037	0.035	1.018	0.032
159728	4145913	-3036	0.036	1.014	0.034
159750	4145913	-3036	0.034	1.021	0.032
159768	4146032	-3036	0.038	1.018	0.029
159782	4146032	-3036	0.038	1.019	0.034
159791	4146032	-3036	0.037	1.029	0.032
159801	4145948	-3036	0.042	1.020	0.029
159806	4145948	-3036	0.034	1.016	0.037
159840	4146010	-3034	0.034	1.014	0.031
159864	4146010	-3034	0.030	1.021	0.036
159885	4145990	-3034	0.038	1.021	0.032
159904	4145990	-3034	0.036	1.016	0.037
159927	4145994	-3035	0.039	1.019	0.035
159945	4145994	-3035	0.035	1.013	0.033
159964	4145942	-3032	0.043	1.013	0.033
159985	4145942	-3032	0.044	1.019	0.036
160004	4146115	-3033	0.043	1.014	0.035
160025	4146115	-3033	0.035	1.020	0.038
160044	4145890	-3033	0.038	1.021	0.035
160065	4145890	-3033	0.039	1.022	0.033
160079	4145890	-3033	0.035	1.018	0.036
160090	4146028	-3033	0.034	1.015	0.033
160101	4146028	-3033	0.028	1.017	0.034
160107	4146028	-3033	0.032	1.017	0.036
160153	4146043	-3032	0.033	1.019	0.033
160172	4146053	-3030	0.037	1.018	0.033
160194	4146053	-3030	0.043	1.019	0.035
160213	4145969	-3031	0.042	1.018	0.032
160235	4145969	-3031	0.035	1.015	0.031
160255	4145957	-3029	0.035	1.011	0.033
160269	4145957	-3029	0.034	1.016	0.033
160289	4145896	-3031	0.033	1.014	0.033
160309	4145896	-3031	0.036	1.021	0.030
160331	4145938	-3030	0.035	1.019	0.034
160353	4145938	-3030	0.042	1.021	0.033
160372	4145972	-3030	0.037	1.018	0.032
160385	4145972	-3030	0.041	1.016	0.034
160396	4145972	-3030	0.043	1.020	0.028
160418	4146037	-3029	0.044	1.021	0.038
160427	4146037	-3029	0.041	1.016	0.037
160439	4146037	-3029	0.043	1.021	0.040
160464	4145955	-3031	0.043	1.018	0.032
160488	4145955	-3029	0.036	1.017	0.033
160510	4145977	-3029	0.037	1.017	0.029
160532	4146061	-3028	0.035	1.018	0.037
160555	4146061	-3028	0.035	1.020	0.033
160574	4146068	-3027	0.035	1.023	0.034
160595	4146068	-3027	0.031	1.020	0.033
160617	4146087	-3026	0.041	1.012	0.032
160635	4146087	-3026	0.037	1.021	0.032
160657	4145999	-3027	0.040	1.018	0.032
160673	4145999	-3027	0.040	1.023	0.031
160686	4145999	-3027	0.040	1.021	0.033
160697	4145993	-3027	0.043	1.019	0.033
160723	4145993	-3028	0.037	1.019	0.036
160753	4145722	-3028	0.035	1.016	0.038
160775	4145873	-3027	0.039	1.017	0.033
160795	4145873	-3027	0.038	1.021	0.029
160817	4145969	-3026	0.036	1.019	0.035
160838	4145969	-3026	0.041	1.022	0.033
160859	4145953	-3027	0.043	1.016	0.033
160881	4145953	-3027	0.041	1.016	0.031
160903	4146051	-3025	0.043	1.016	0.033
160917	4146051	-3025	0.042	1.020	0.033
160945	4145922	-3026	0.044	1.022	0.030
160967	4145922	-3026	0.044	1.016	0.035
160981	4145813	-3027	0.047	1.019	0.030
160992	4145813	-3027	0.042	1.013	0.033
161005	4145813	-3027	0.042	1.014	0.036
161012	4145813	-3027	0.042	1.019	0.036
161042	4145891	-3024	0.039	1.020	0.032
161067	4146038	-3025	0.044	1.012	0.034
161084	4146038	-3025	0.039	1.017	0.031
161099	4146051	-3026	0.041	1.015	0.034
161119	4146051	-3026	0.040	1.018	0.033
161140	4145881	-3023	0.040	1.021	0.035
161160	4145881	-3023	0.040	1.017	0.036
161180	4145955	-3023	0.043	1.020	0.035
161202	4145955	-3023	0.040	1.020	0.030
161221	4146128	-3025	0.044	1.014	0.034
161240	4146128	-3025	0.041	1.021	0.027
161262	4146052	-3022	0.043	1.017	0.032
161277	4146052	-3022	0.042	1.012	0.041
161288	4146052	-3022	0.039	1.018	0.033
161299	4146052	-3024	0.034	1.012	0.035
161308	4145879	-3024	0.035	1.016	0.032
161379	4146124	-3025	0.042	1.010	0.036
161408	4145923	-3025	0.039	1.016	0.032
161430	4146002	-3022	0.035	1.021	0.034
161450	4146002	-3022	0.039	1.021	0.031
161472	4146013	-3020	0.040	1.018	0.033
161490	4146013	-3020	0.034	1.023	0.032
161510	4145788	-3022	0.035	1.017	0.034
161529	4145788	-3022	0.033	1.015	0.031
161546	4146017	-3019	0.035	1.016	0.032
161563	4146017	-3019	0.038	1.019	0.032
161575	4146017	-3019	0.037	1.017	0.032
161586	4145899	-3020	0.043	1.020	0.034
161591	4145899	-3020	0.040	1.083	0.192
161805	4146340	-3019	0.108	1.034	-0.042
161819	4146340	-3019	0.090	1.020	0.051
161830	4146262	-3018	0.122	0.945	0.010
161841	4146262	-3018	0.118	1.040	0.014
161858	4146262	-3018	0.113	0.994	0.024
161866	4146262	-3018	0.077	0.852	0.145
162025	4145992	-3017	-0.125	1.195	0.203
162052	4145776	-3018	-0.323	1.470	0.451
162074	4145920	-3019	-0.314	1.351	0.739
162095	4145920	-3019	-0.408	1.389	0.693
162117	4146172	-3017	-0.494	1.502	0.726
162138	4146172	-3017	-0.523	1.562	0.719
162159	4145951	-3017	-0.554	1.573	0.742
162177	4145951	-3017	-0.563	1.503	0.801
162189	4145951	-3017	-0.568	1.395	0.799
162201	4146000	-3016	-0.545	1.332	0.761
162209	4146000	-3016	-0.542	1.312	0.694
162307	4146088	-3014	-0.643	1.069	0.635
162318	4146269	-3013	-0.626	1.046	0.666
162325	4146269	-3013	-0.625	0.978	0.614
162348	4146269	-3013	-0.684	0.960	0.546
162364	4146015	-3016	-0.697	0.978	0.578
162370	4146015	-3016	-0.707	0.770	0.070
162527	4145729	-3013	-0.299	0.701	0.053
162533	4145729	-3013	-0.249	0.599	-0.126
162580	4145521	-3013	0.075	0.517	-0.249
162599	4145521	-3014	-0.041	0.516	-0.249
162618	4145633	-3014	-0.118	0.536	-0.196
162643	4145699	-3013	-0.122	0.510	-0.122
162662	4145699	-3013	-0.186	0.521	-0.062
162681	4145699	-3012	-0.220	0.571	-0.037
162702	4145674	-3012	-0.148	0.666	-0.018
162724	4145526	-3012	-0.082	0.634	-0.069
162743	4145526	-3012	-0.028	0.588	-0.155
162767	4145651	-3011	-0.002	0.558	-0.167
162779	4145651	-3011	-0.059	0.508	-0.141
162813	4145568	-3013	-0.110	0.523	-0.137
162828	4145568	-3013	-0.080	0.542	-0.121
162841	4145568	-3011	-0.065	0.563	-0.154
162864	4145462	-3011	-0.042	0.563	-0.216
162882	4145462	-3011	-0.024	0.543	-0.278
162904	4145484	-3011	0.098	0.219	-0.200
162923	4145484	-3012	0.684	1.337	-0.460
162945	4145567	-3012	0.194	1.004	-0.310
162965	4145567	-3011	0.046	1.247	-0.219
162987	4145313	-3011	0.589	0.448	-0.271
163006	4145313	-3011	1.182	1.234	-0.106
163017	4145527	-3011	0.808	1.093	-0.096
163041	4145527	-3011	0.046	1.010	-0.186
163061	4145453	-3011	0.186	0.868	-0.255
163078	4145453	-3011	0.265	0.803	-0.296
163089	4145548	-3009	0.319	0.740	-0.282
163104	4145548	-3009	0.229	0.815	-0.285
163129	4145554	-3009	0.351	0.814	-0.396
163153	4145554	-3009	0.321	0.705	-0.532
163169	4145574	-3010	0.436	0.878	-0.342
163192	4145574	-3010	0.594	0.703	-0.646
163211	4145840	-3008	0.336	0.781	-0.544
163232	4145840	-3008	0.483	0.431	-0.458
163247	4145840	-3008	0.737	0.707	-0.376
163264	4145500	-3008	0.316	0.753	-0.594
163285	4145500	-3006	0.295	1.272	-0.536
163305	4145689	-3006	0.434	0.937	-0.658
163327	4145689	-3007	0.537	0.653	-0.783
163346	4145497	-3007	0.541	0.697	-0.623
163367	4145497	-3007	0.440	0.586	-0.430
163381	4145450	-3006	0.341	0.775	-0.293
163392	4145450	-3006	0.188	0.908	-0.281
163403	4145450	-3006	0.180	0.893	-0.473
163409	4145450	-3006	0.275	0.585	-0.690
163434	4145705	-3006	0.692	0.645	-0.485
163449	4145705	-3006	0.646	0.771	-0.427
163492	4145688	-3004	0.393	0.754	-0.666
163511	4146051	-3004	0.296	0.646	-0.751
163533	4146051	-3006	0.286	0.535	-0.726
163552	4145823	-3006	0.253	0.446	-0.722
163571	4145823	-3004	0.322	0.480	-0.648
163590	4145430	-3004	0.389	0.539	-0.630
163609	4145430	-3004	0.360	0.569	-0.718
163628	4145477	-3006	0.414	0.609	-0.700
163653	4145477	-3006	0.459	0.521	-0.702
163671	4145666	-3006	0.419	0.483	-0.724
163682	4145666	-3006	0.383	0.473	-0.736
163687	4145666	-3006	0.372	0.335	-0.878
163729	4145434	-3005	0.071	0.290	-0.900
163748	4145244	-3006	-0.041	0.394	-0.933
163770	4145244	-3006	-0.119	0.515	-0.943
163791	4145662	-3004	-0.236	0.476	-0.950
163811	4145662	-3004	-0.329	0.417	-0.939
163833	4145560	-3001	-0.369	0.256	-0.919
163852	4145560	-3001	-0.364	0.172	-0.892
163874	4145284	-3002	-0.281	0.271	-0.862
163893	4145284	-3002	-0.246	0.245	-0.825
163915	4145474	-3003	-0.396	0.029	-0.801
163936	4145474	-3003	-0.687	-0.170	-1.103
163958	4145235	-3003	-0.024	0.467	-0.679
163975	4145235	-3003	0.006	0.641	-0.846
163987	4145305	-3003	-0.016	0.893	-0.783
163998	4145305	-3003	-0.151	-0.201	-0.804
164022	4145466	-3002	-0.294	0.192	-0.900
164052	4145466	-3002	-0.312	0.198	-0.925
164074	4145450	-3003	-0.210	0.255	-0.860
164095	4145450	-3003	-0.268	0.201	-0.919
164110	4145794	-3002	-0.223	0.197	-0.900
164125	4145794	-3002	-0.205	0.200	-1.050
164140	4145794	-3002	-0.099	0.452	-0.775
164158	4145696	-3002	-0.174	0.370	-0.902
164180	4145696	-3000	-0.213	0.274	-0.858
164200	4145859	-3000	-0.283	0.381	-0.907
164222	4145859	-3000	-0.307	0.358	-1.003
164241	4145581	-3000	-0.254	0.231	-0.935
164262	4145581	-3001	-0.186	0.190	-0.875
164278	4145592	-3001	-0.180	0.201	-0.912
164289	4145592	-3001	-0.186	0.233	-0.875
164306	4145925	-3000	-0.182	0.214	-0.861
164315	4145925	-3000	-0.187	0.210	-0.861
164414	4147211	-2999	-0.300	0.217	-0.888
164429	4146071	-2999	-0.251	0.217	-0.903
164441	4146071	-2999	-0.245	0.263	-0.896
164452	4146071	-2999	-0.222	0.269	-0.909
164459	4146071	-2999	-0.244	0.303	-0.965
164483	4146000	-2998	-0.294	0.306	-0.977
164493	4146000	-2998	-0.315	0.288	-0.983
164540	4145383	-2999	-0.245	0.275	-0.962
164551	4144961	-2998	-0.232	0.295	-0.935
164557	4144961	-2998	-0.238	0.265	-0.914
164607	4144909	-2997	-0.228	0.296	-0.907
164618	4144909	-2997	-0.265	0.272	-0.903
164664	4144823	-2996	-0.274	0.356	-0.864
164675	4144692	-2998	-0.269	0.304	-0.860
164681	4144692	-2998	-0.254	0.335	-0.953
164858	4145414	-2997	-0.292	0.375	-0.867
165034	4145464	-2995	0.047	0.309	-0.863
165050	4145353	-2995	0.092	0.294	-0.828
165061	4145353	-2995	0.126	0.364	-0.831
165072	4145353	-2995	0.086	0.411	-0.838
165079	4145144	-2995	0.087	0.271	-0.896
165152	4145331	-2994	0.034	0.308	-0.854
165163	4145249	-2997	0.025	0.359	-0.872
165176	4145249	-2997	0.104	0.477	-0.870
165180	4145653	-2992	-0.029	0.413	-0.821
165276	4145653	-2992	0.004	0.479	-0.801
165287	4145134	-2995	-0.013	0.493	-0.780
165293	4145134	-2995	-0.051	0.161	-0.960
165335	4145471	-2993	0.014	0.124	-0.963
165341	4145471	-2993	-0.003	0.260	-0.838
165529	4145302	-2993	-0.007	0.260	-0.926
165543	4145302	-2993	-0.062	0.370	-1.027
165556	4145302	-2993	-0.108	0.417	-0.974
165567	4145540	-2990	-0.096	0.412	-0.951
165588	4145540	-2990	0.006	0.159	-0.955
165598	4145540	-2990	-0.133	0.341	-0.913
165605	4145540	-2989	-0.121	0.366	-0.937
165700	4145606	-2990	-0.044	0.582	-0.764
165712	4145606	-2990	-0.201	0.334	-0.806
165718	4145606	-2990	-0.196	0.494	-1.257
165763	4145756	-2991	-0.445	0.730	-0.702
165773	4145666	-2989	-0.129	0.106	-1.062
165823	4145672	-2990	-0.358	0.360	-1.066
165835	4145672	-2990	-0.271	0.263	-1.066
166042	4145693	-2987	-0.279	0.164	-0.956
166056	4145602	-2989	-0.230	0.172	-0.920
166067	4145602	-2989	-0.199	0.156	-0.863
166078	4145602	-2989	-0.170	0.189	-0.854
166084	4145602	-2989	-0.134	0.181	-1.030
166174	4145316	-2985	-0.463	-0.067	-1.025
166195	4145316	-2985	-0.342	0.269	-0.941
166207	4145316	-2985	-0.157	0.215	-1.278
166218	4145134	-2987	-0.120	0.404	-1.021
166303	4145373	-2984	-0.170	0.176	-1.018
166322	4145373	-2984	-0.149	0.095	-0.947
166333	4145373	-2984	-0.176	-0.003	-0.924
166339	4145157	-2986	-0.197	0.197	-0.887
166518	4145304	-2985	-0.297	0.255	-0.839
166531	4145304	-2985	-0.106	0.087	-0.946
166543	4145661	-2985	-0.145	-0.187	-1.057
166563	4145661	-2985	-0.246	-0.032	-0.965
166572	4145661	-2985	-0.312	-0.067	-0.962
166620	4146224	-2984	-0.167	-0.097	-0.858
166631	4146224	-2984	-0.170	-0.151	-0.850
166637	4146224	-2984	-0.203	0.069	-0.946
166820	4147318	-2981	-0.301	0.064	-0.975
166831	4144868	-2983	-0.253	-0.003	-0.979
166836	4144868	-2983	-0.404	-0.020	-1.018
166885	4143400	-2983	-0.459	-0.024	-1.071
166894	4143400	-2983	-0.463	-0.015	-1.063
167056	4145393	-2981	-0.292	0.182	-0.925
167066	4145393	-2982	-0.290	0.345	-1.082
167167	4144612	-2982	-0.197	0.258	-0.899
167184	4144612	-2982	-0.090	0.316	-0.835
167196	4144587	-2981	0.035	0.388	-0.803
167207	4144587	-2981	0.051	0.486	-0.763
167214	4144587	-2981	0.069	0.490	-0.896
167388	4145450	-2978	-0.060	0.428	-0.932
167401	4145160	-2982	-0.079	0.495	-0.922
167407	4145160	-2982	-0.077	0.302	-0.997
167453	4145084	-2981	-0.125	0.276	-0.920
167473	4145107	-2979	-0.086	0.348	-0.951
167483	4145107	-2979	-0.182	0.367	-0.946
167533	4145632	-2978	-0.186	0.396	-0.867
167544	4145632	-2978	-0.155	0.438	-0.885
167549	4145632	-2978	-0.137	0.276	-0.848
167727	4145515	-2978	-0.054	0.379	-0.884
167741	4145515	-2978	-0.042	0.331	-0.956
167752	4145515	-2978	-0.077	0.308	-0.937
167763	4145314	-2977	0.010	0.400	-0.903
167768	4145342	-2976	0.027	0.557	-0.858
167847	4145360	-2978	-0.004	0.505	-0.874
167858	4145360	-2978	-0.007	0.495	-0.894
167865	4145360	-2978	0.014	0.549	-0.932
167965	4145436	-2975	-0.126	0.141	-0.934
167977	4145436	-2975	-0.212	0.114	-0.927
168069	4145151	-2975	-0.091	0.165	-0.920
168083	4145458	-2974	-0.013	0.347	-0.942
168092	4145458	-2974	0.043	0.478	-0.933
168274	4145569	-2972	0.246	0.355	-0.828
168287	4145307	-2975	0.254	0.400	-0.845
168299	4145307	-2975	0.258	0.408	-0.860
168310	4145307	-2975	0.272	0.425	-0.860
168318	4145307	-2975	0.286	0.489	-0.855
168338	4145216	-2973	0.250	0.467	-0.885
168349	4145216	-2973	0.231	0.442	-0.895
168384	4145422	-2972	0.066	0.301	-0.891
168395	4145422	-2972	-0.266	0.187	-0.913
168401	4145422	-2972	-0.338	0.433	-0.887
168449	4145096	-2971	0.030	0.453	-0.885
168460	4145096	-2971	0.036	0.452	-0.880
168564	4145609	-2970	-0.124	0.245	-0.936
168575	4145338	-2968	-0.127	0.228	-0.928
168581	4145338	-2968	-0.103	0.289	-0.914
168663	4145264	-2969	-0.110	0.285	-0.921
168747	4145396	-2969	-0.402	0.096	-0.981
168762	4145396	-2969	-0.222	0.207	-1.028
168772	4145431	-2967	-0.731	0.137	-0.979
168782	4145431	-2967	-0.469	0.302	-1.049
168791	4145431	-2967	-0.425	0.233	-0.985
168822	4145505	-2969	-0.268	0.436	-1.026
168832	4145505	-2969	-0.204	0.456	-1.013
168838	4145505	-2969	-0.180	0.053	-0.866
168935	4145259	-2967	-0.063	0.126	-0.858
168947	4145259	-2967	-0.033	0.129	-0.841
169038	4145606	-2965	-0.172	0.116	-0.912
169053	4145606	-2965	-0.202	0.005	-0.935
169064	4145435	-2964	-0.190	0.037	-0.922
169116	4145466	-2965	-0.118	0.079	-0.905
169124	4145466	-2965	-0.105	0.108	-1.075
169455	4145480	-2964	-0.104	0.208	-0.976
169473	4145370	-2964	-0.008	0.234	-0.910
169491	4145370	-2964	-0.047	0.144	-0.911
169503	4145247	-2964	-0.035	0.107	-0.922
169513	4145247	-2964	-0.114	0.136	-0.910
169522	4145247	-2964	-0.101	0.177	-0.968
169544	4145383	-2963	-0.206	0.231	-0.937
169555	4145383	-2963	-0.178	0.185	-0.942
169561	4145383	-2963	-0.162	0.359	-0.818
169609	4145460	-2964	0.057	0.145	-0.986
169620	4145460	-2964	-0.271	0.297	-0.804
169715	4145557	-2963	0.367	0.434	-0.811
169730	4145557	-2963	0.206	0.465	-0.855
169737	4145557	-2963	0.143	0.490	-1.094
169853	4145449	-2962	0.339	0.654	-1.065
169868	4145552	-2960	0.546	0.312	-0.926
169881	4145552	-2960	0.117	0.266	-1.003
169892	4145552	-2960	0.168	0.425	-1.065
169899	4145552	-2960	-0.030	0.241	-0.890
169945	4145300	-2959	0.338	-0.184	-0.735
169957	4145211	-2962	0.103	0.107	-0.837
169961	4145268	-2960	0.815	-0.526	-0.495
170033	4145074	-2960	0.654	-0.126	-0.733
170044	4145074	-2960	0.579	-0.193	-0.728
170090	4145348	-2960	0.391	0.242	-0.900
170102	4145348	-2960	0.320	0.355	-0.789
170109	4145348	-2960	0.504	0.206	-0.799
170152	4145352	-2959	0.580	0.532	-0.850
170157	4145143	-2959	0.441	0.002	-0.785
170332	4145450	-2957	0.497	0.013	-0.825
170346	4145450	-2957	0.562	-0.263	-0.802
170357	4145316	-2959	0.557	-0.088	-0.866
170368	4145316	-2959	0.586	0.522	-0.763
170373	4145316	-2957	0.296	0.226	-0.479
170411	4145631	-2957	0.664	-0.687	-0.702
170418	4145631	-2957	0.367	-0.074	-0.913
170465	4145302	-2957	0.400	-0.035	-0.903
170474	4145302	-2957	0.462	-0.052	-0.741
170632	4145499	-2954	0.503	0.261	-0.808
170645	4145344	-2956	0.439	0.167	-0.849
170656	4145344	-2956	0.408	0.085	-0.866
170661	4145344	-2956	0.380	0.352	-0.920
170748	4145536	-2955	0.187	0.279	-0.949
170754	4145536	-2955	0.161	0.265	-0.847
171000	4145358	-2952	0.200	0.360	-0.969
171015	4145665	-2953	0.063	0.388	-1.037
171027	4145665	-2953	-0.001	0.390	-1.092
171038	4145665	-2953	-0.017	0.368	-1.063
171058	4145414	-2953	0.160	0.296	-0.747
171069	4145414	-2953	0.137	0.333	-0.746
171076	4145414	-2953	0.108	0.322	-0.906
171122	4145715	-2953	0.067	0.246	-0.862
171134	4145958	-2951	0.068	0.247	-0.869
171138	4145653	-2950	0.069	0.232	-0.930
171325	4145653	-2950	0.045	0.261	-0.928
171336	4145513	-2950	0.044	0.269	-0.912
171434	4145323	-2948	0.148	0.302	-0.811
171443	4145323	-2948	0.145	0.285	-0.844
171730	4145158	-2947	0.058	0.314	-0.941
171743	4145097	-2949	0.054	0.320	-0.939
171753	4145097	-2949	0.044	0.336	-0.942
